IDCode,count,feature,sex,group,is_rapid_guess
kygi723,57,IDCode,,,
kuqy630,57,IDCode,,,
kula014,57,IDCode,,,
kuge219,57,IDCode,,,
kufi222,57,IDCode,,,
koze985,57,IDCode,,,
lucu601,57,IDCode,,,
loxu319,57,IDCode,,,
lowy720,57,IDCode,,,
lowa532,57,IDCode,,,
lota555,57,IDCode,,,
losy787,57,IDCode,,,
lore323,57,IDCode,,,
lomo204,57,IDCode,,,
lohy238,57,IDCode,,,
loge702,57,IDCode,,,
loda300,57,IDCode,,,
loby351,57,IDCode,,,
lobo127,57,IDCode,,,
lilu285,57,IDCode,,,
lilo882,57,IDCode,,,
lije367,57,IDCode,,,
maxy370,57,IDCode,,,
masu336,57,IDCode,,,
mari840,57,IDCode,,,
maqu534,57,IDCode,,,
manu258,57,IDCode,,,
maju644,57,IDCode,,,
maho931,57,IDCode,,,
magu282,57,IDCode,,,
mado232,57,IDCode,,,
mabo887,57,IDCode,,,
lyzy104,57,IDCode,,,
lusi512,57,IDCode,,,
lury747,57,IDCode,,,
luli756,57,IDCode,,,
lula174,57,IDCode,,,
lufy687,57,IDCode,,,
muta539,57,IDCode,,,
muqo157,57,IDCode,,,
muku118,57,IDCode,,,
mude815,57,IDCode,,,
mowy859,57,IDCode,,,
mory430,57,IDCode,,,
moly152,57,IDCode,,,
moku835,57,IDCode,,,
mofe780,57,IDCode,,,
mixa281,57,IDCode,,,
mipe544,57,IDCode,,,
mika525,57,IDCode,,,
mida684,57,IDCode,,,
mesi806,57,IDCode,,,
mefy253,57,IDCode,,,
mecu237,57,IDCode,,,
nene689,57,IDCode,,,
neku787,57,IDCode,,,
nejy388,57,IDCode,,,
nehe056,57,IDCode,,,
nawu690,57,IDCode,,,
navo572,57,IDCode,,,
naso669,57,IDCode,,,
nasi298,57,IDCode,,,
nape687,57,IDCode,,,
naky151,57,IDCode,,,
najy705,57,IDCode,,,
myzo000,57,IDCode,,,
myve834,57,IDCode,,,
myte214,57,IDCode,,,
mybu425,57,IDCode,,,
muvo194,57,IDCode,,,
nypy058,57,IDCode,,,
nyfe489,57,IDCode,,,
nycu731,57,IDCode,,,
nupy082,57,IDCode,,,
nujo284,57,IDCode,,,
nuhi137,57,IDCode,,,
nopo152,57,IDCode,,,
nolu547,57,IDCode,,,
node314,57,IDCode,,,
nivo041,57,IDCode,,,
nise834,57,IDCode,,,
niri091,57,IDCode,,,
ninu744,57,IDCode,,,
nily317,57,IDCode,,,
nexy906,57,IDCode,,,
nexu635,57,IDCode,,,
pogi169,57,IDCode,,,
pody147,57,IDCode,,,
pivi588,57,IDCode,,,
piro376,57,IDCode,,,
pipo687,57,IDCode,,,
pino324,57,IDCode,,,
pimi228,57,IDCode,,,
pile112,57,IDCode,,,
peto053,57,IDCode,,,
peqo117,57,IDCode,,,
peqa279,57,IDCode,,,
paxi044,57,IDCode,,,
pala257,57,IDCode,,,
pajo050,57,IDCode,,,
nysu060,57,IDCode,,,
nysa238,57,IDCode,,,
pyzi618,57,IDCode,,,
pytu496,57,IDCode,,,
pyqy867,57,IDCode,,,
pymu787,57,IDCode,,,
puxi257,57,IDCode,,,
pusu302,57,IDCode,,,
punu787,57,IDCode,,,
punu537,57,IDCode,,,
puju088,57,IDCode,,,
pufe463,57,IDCode,,,
puce552,57,IDCode,,,
puca767,57,IDCode,,,
pubu440,57,IDCode,,,
powu461,57,IDCode,,,
posy958,57,IDCode,,,
posy537,57,IDCode,,,
qosy291,57,IDCode,,,
qoha890,57,IDCode,,,
qixy634,57,IDCode,,,
qisu640,57,IDCode,,,
qiqi041,57,IDCode,,,
qexo432,57,IDCode,,,
qewy924,57,IDCode,,,
qejy219,57,IDCode,,,
qefe646,57,IDCode,,,
qedo478,57,IDCode,,,
qecu035,57,IDCode,,,
qapo730,57,IDCode,,,
qami382,57,IDCode,,,
qafu966,57,IDCode,,,
qafe413,57,IDCode,,,
pyzo535,57,IDCode,,,
rejy122,57,IDCode,,,
recu163,57,IDCode,,,
raxy329,57,IDCode,,,
raxe285,57,IDCode,,,
rawo522,57,IDCode,,,
ravy196,57,IDCode,,,
ratu271,57,IDCode,,,
